repNumber, q1Time, q1Results, q2Time, q2Results, q3Time, q3Results, totalNumberOfTriples
1, 60, 1, 144, 1000, 641, 2000, 155186
1, 50, 1, 98, 1000, 753, 2000, 311072
1, 48, 1, 86, 1000, 627, 2000, 487551
1, 49, 1, 90, 1000, 613, 2000, 728241
1, 49, 1, 87, 1000, 621, 2000, 947593
1, 47, 1, 88, 1000, 613, 2000, 1188800
1, 50, 1, 91, 1000, 619, 2000, 1434350
1, 47, 1, 93, 1000, 623, 2000, 1660766
1, 48, 1, 391, 1000, 624, 2000, 1874968
1, 49, 1, 97, 1000, 611, 2000, 2119747
1, 47, 1, 83, 1000, 603, 2000, 2335283
1, 50, 1, 87, 1000, 614, 2000, 2573467
1, 47, 1, 84, 1000, 612, 2000, 2789059
1, 70, 1, 89, 1000, 621, 2000, 2956490
1, 48, 1, 88, 1000, 617, 2000, 3151265
1, 48, 1, 87, 1000, 612, 2000, 3355868
1, 47, 1, 90, 1000, 621, 2000, 3596148
1, 46, 1, 156, 1000, 616, 2000, 3839771
1, 49, 1, 90, 1000, 615, 2000, 4078608
1, 48, 1, 79, 1000, 601, 2000, 4311056
1, 47, 1, 80, 1000, 748, 2000, 4544940
1, 47, 1, 82, 1000, 603, 2000, 4784147
1, 47, 1, 85, 1000, 612, 2000, 5007404
1, 48, 1, 85, 1000, 611, 2000, 5220599
1, 70, 1, 84, 1000, 611, 2000, 5387072
1, 47, 1, 86, 1000, 616, 2000, 5616386
1, 48, 1, 87, 1000, 616, 2000, 5816715
1, 47, 1, 89, 1000, 620, 2000, 6016990
1, 48, 1, 94, 1000, 629, 2000, 6256279
1, 50, 1, 80, 1000, 603, 2000, 6489288
1, 47, 1, 83, 1000, 611, 2000, 6731698
1, 47, 1, 128, 1000, 612, 2000, 6980606
1, 47, 1, 84, 1000, 612, 2000, 7208756
1, 47, 1, 84, 1000, 609, 2000, 7431468
1, 48, 1, 84, 1000, 610, 2000, 7657664
1, 50, 1, 89, 1000, 625, 2000, 7872101
1, 48, 1, 89, 1000, 618, 2000, 8054900
1, 47, 1, 297, 1000, 616, 2000, 8279929
1, 48, 1, 92, 1000, 616, 2000, 8507394
1, 49, 1, 78, 1000, 596, 2000, 8734779
1, 47, 1, 81, 1000, 603, 2000, 8951821
1, 47, 1, 85, 1000, 612, 2000, 9196216
1, 48, 1, 86, 1000, 617, 2000, 9439855
1, 47, 1, 88, 1000, 617, 2000, 9656886
1, 47, 1, 84, 1000, 899, 2000, 9879768
1, 47, 1, 90, 1000, 988, 2000, 10123978
1, 49, 1, 87, 1000, 618, 2000, 10347237
1, 48, 1, 91, 1000, 819, 2000, 10588758
1, 47, 1, 145, 1000, 624, 2000, 10823231
1, 50, 1, 367, 1000, 610, 2000, 11054565
1, 47, 1, 458, 1000, 600, 2000, 11288589
1, 47, 1, 80, 1000, 604, 2000, 11476527
1, 48, 1, 85, 1000, 609, 2000, 11683151
1, 47, 1, 84, 1000, 609, 2000, 11922093
1, 48, 1, 196, 1000, 617, 2000, 12161367
1, 49, 1, 88, 1000, 613, 2000, 12383106
1, 48, 1, 89, 1000, 616, 2000, 12608630
1, 48, 1, 504, 1000, 616, 2000, 12791614
1, 46, 1, 91, 1000, 612, 2000, 13014323
1, 49, 1, 262, 1000, 603, 2000, 13258421
1, 48, 1, 82, 1000, 605, 2000, 13495366
1, 47, 1, 81, 1000, 599, 2000, 13715884
1, 47, 1, 84, 1000, 609, 2000, 13936205
1, 48, 1, 87, 1000, 620, 2000, 14129382
1, 47, 1, 85, 1000, 938, 2000, 14313868
1, 47, 1, 86, 1000, 606, 2000, 14550288
1, 47, 1, 89, 1000, 825, 2000, 14772842
1, 48, 1, 522, 1000, 619, 2000, 15018505
